	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated
chr1_934343_935477_HES4	136	505	188	1365	377	381	1245	3605	344	98	751	106	169	474	1387	649	82	32
chr1_948876_949920_ISG15	375	15595	969	247	156	318	397	246	653	393	270	50	371	807	534	3621	306	411
chr1_955499_991496_AGRN	1431	8703	4049	25066	40621	8654	3300	4506	3544	8686	16825	4275	47566	11434	7272	3416	8698	7720
chr1_995113_1001833_LOC100288175	0	16	89	2176	14	712	12	405	7	190	18	22	431	477	1324	710	1253	10
chr1_1006346_1009686_RNF223	0	0	0	0	79	340	67	2345	0	11	0	0	212	0	1749	0	120	0
chr1_1017202_1051469_C1orf159	243	364	688	1173	429	744	419	2315	634	854	1971	552	2874	1149	510	860	848	341
chr1_1072396_1079436_LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_1102483_1102578_MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1_1103242_1103332_MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1_1104384_1104467_MIR429	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr1_1109259_1133316_TTLL10	1	67	29	1	52	8	57	0	10	1	1	22	1	2	87	26	25	2
chr1_1138887_1141972_TNFRSF18	0	92	25	7	2	0	80	84	4	0	43	2	5	69	143	0	2	0
chr1_1146719_1149533_TNFRSF4	33	1	12	39	1	0	36	23	19	5	4	44	4	59	11	6	3	0
chr1_1152287_1167447_SDF4	12163	610	6371	20740	4116	13947	15454	2386	11584	25464	12972	7143	11670	6454	7468	13876	5713	7979
chr1_1167616_1170421_B3GALT6	310	200	1933	1541	434	458	2134	1170	353	631	762	2218	613	2428	1855	1831	42	939
chr1_1177832_1182102_C1QTNF12	82	134	431	3	244	174	130	53	163	76	150	96	231	244	76	157	235	73
chr1_1189291_1209234_UBE2J2	4570	1825	17374	1001	9027	2561	2125	23771	2824	7169	9315	8360	1484	15437	2832	2137	5660	2204
chr1_1215815_1227409_SCNN1D	100	251	81	203	2580	451	499	158	1369	280	175	878	402	165	857	100	125	1030
chr1_1227770_1243310_ACAP3	9733	15702	5712	3937	12631	5288	5401	7590	5068	3032	4859	1114	3534	4161	36003	6954	18817	6115
chr1_1231489_1231550_MIR6726	5	5	3	5	7	2	0	0	6	0	1	7	14	5	8	16	3	2
chr1_1240108_1240192_SNORD167	33	34	28	25	34	61	33	49	35	34	51	19	9	138	185	25	106	28
chr1_1243959_1247057_PUSL1	891	1190	693	3204	653	229	318	1390	751	659	831	414	487	712	1527	744	4831	1584
chr1_1246964_1260067_INTS11	6832	12723	3130	4121	657	3959	4471	5022	2193	5000	2671	5005	20821	3206	3913	5027	3374	6685
chr1_1247881_1247946_MIR6727	117	41	20	141	7	20	29	28	323	41	554	152	7	14	41	28	11	9
chr1_1260181_1264276_CPTP	352	1585	49	730	1438	673	175	288	885	1246	1613	886	1017	1180	301	1457	342	1153
chr1_1266659_1270694_TAS1R3	14	42	53	178	50	35	34	566	43	21	26	151	55	88	145	93	129	71
chr1_1270657_1284798_DVL1	5372	4365	6880	686	4357	2202	7548	215	4134	2012	2861	6957	4794	2860	4248	4428	3687	5374
chr1_1275029_1275088_MIR6808	22	1	8	17	13	1	3	9	18	11	0	16	18	16	3	1	5	7
chr1_1288068_1298921_MXRA8	49642	25519	61857	52470	47455	52397	32399	15733	34473	48603	72880	107952	10226	54533	12789	32598	2248	19666
chr1_1309115_1310587_AURKAIP1	1223	2554	111	1852	2988	1842	1941	3842	772	1159	1520	460	1507	2918	1958	2147	2702	980
chr1_1321090_1334722_CCNL2	11770	7266	9233	3061	747	3598	13664	8857	10574	8230	5135	8131	9551	9997	8496	10058	6102	8047
chr1_1334909_1337426_MRPL20-AS1	666	386	53	536	355	705	265	1114	391	1326	646	783	777	658	798	809	661	795
chr1_1337288_1342673_MRPL20	787	1445	1477	1577	1282	1219	757	638	2401	888	414	1177	2163	1032	746	1548	1888	1050
chr1_1353799_1356824_ANKRD65	280	5	40	97	36	10	8	6	21	70	4	42	14	89	72	140	9	70
chr1_1361507_1363167_TMEM88B	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0
chr1_1365536_1369953_LINC01770	2	0	0	0	5	0	2	8	0	0	0	0	0	1	7	2	6	0
chr1_1371069_1378262_VWA1	124	414	359	72	34	91	157	84	102	95	105	56	43	375	4	172	138	114
chr1_1385068_1405543_ATAD3C	75	90	173	111	59	202	56	62	47	77	100	82	171	79	163	58	240	110
chr1_1407144_1433228_ATAD3B	2148	6501	4788	3001	3398	3290	12384	1048	5080	1822	2345	4208	3172	3326	2311	1044	5484	2407
chr1_1447541_1470067_ATAD3A	4526	4200	3440	2344	3388	4490	3526	2498	3768	1846	4667	5201	9700	5456	2690	4753	1726	1136
chr1_1470157_1476004_TMEM240	131	132	27	17	24	225	27	257	141	80	192	132	134	46	27	25	59	72
chr1_1477052_1510243_SSU72	4150	4052	3742	3017	3492	6983	453	3754	2579	2788	4474	4633	5099	2754	3392	2576	3971	3433
chr1_1533391_1535515_FNDC10	946	324	308	63	296	348	46	123	82	450	278	8	396	74	193	233	405	404
chr1_1534812_1542590_LOC105378586	180	10	58	16	113	13	105	5	54	185	72	55	25	44	3	16	65	28
chr1_1550794_1565990_MIB2	238	2759	2194	877	1357	3903	1883	1367	2609	2077	1973	3010	2146	3363	2579	2387	2840	1296
chr1_1567551_1570030_MMP23B	644	118	220	227	486	93	22	476	222	66	34	36	74	52	80	26	89	308
chr1_1570602_1590465_CDK11B	4345	3145	3643	5842	7069	14617	6292	11697	5198	4752	4272	5789	6223	7589	7898	4788	5184	3001
chr1_1592938_1624234_SLC35E2B	10312	4123	3506	5620	7552	7166	8856	4129	1851	650	5844	1447	3444	2513	3259	7496	4825	1722
chr1_1631377_1633247_MMP23A	66	628	95	203	408	455	22	39	37	175	27	76	108	83	25	72	234	214
chr1_1633817_1655796_CDK11A	8828	3682	6386	4780	4377	5240	4846	3175	2770	4963	4381	7330	8088	4352	4700	3564	7396	5145
chr1_1656276_1677438_SLC35E2A	3521	5002	836	2723	3521	2308	3816	2518	1242	2751	410	3353	1312	4037	2311	1129	5021	890
chr1_1682670_1711470_NADK	3526	1433	2349	3900	4851	1586	1244	4195	2083	302	684	3785	3272	3912	3854	1384	5976	4012
chr1_1716723_1822556_GNB1	13365	15671	49217	40097	24474	25373	25846	14659	27268	19248	26073	30626	22807	20231	24427	33508	33464	33705
chr1_1846698_1848735_CALML6	37	24	51	81	63	68	16	29	20	43	34	46	12	19	51	2	49	56
chr1_1849029_1850718_TMEM52	7	2	0	4	2	4	5	8	6	2	0	0	6	8	4	0	4	2
chr1_1853395_1935225_CFAP74	2	2	0	0	2	0	2	13	1	0	1	2	0	17	2	0	2	0
chr1_1950783_1962197_GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1_1980639_1981509_LOC105378591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_1981849_2116838_PRKCZ	190	181	222	485	441	1482	334	58	634	310	464	339	434	575	269	325	345	834
chr1_2113232_2115314_PRKCZ-AS1	9	122	64	15	37	109	21	42	29	30	30	57	54	41	113	51	37	68
chr1_2115898_2144159_FAAP20	2221	1025	1953	1385	3084	803	2649	2387	693	2041	2144	1441	121	982	1693	1112	2482	4086
chr1_2159757_2241652_SKI	11170	10890	17162	2990	4083	10403	6807	17488	2459	15452	11718	8596	8171	8306	570	31975	9815	10903
chr1_2252691_2322993_MORN1	656	168	267	389	492	396	468	799	374	346	455	343	500	493	402	589	800	54
chr1_2281852_2284100_LOC100129534	28	20	31	43	30	63	46	2	27	43	7	157	57	16	33	46	12	13
chr1_2323279_2336875_RER1	5304	9643	7899	4076	8284	7005	7280	5121	3726	3281	6763	6342	4155	6324	3443	11450	7062	6164
chr1_2336240_2344010_PEX10	1986	892	1266	1532	1127	456	1748	2674	1591	966	1749	2492	849	1757	1122	1530	1596	1164
chr1_2398889_2436971_PLCH2	10	32	187	14	20	11	300	43	2	14	37	90	92	78	22	24	8	34
chr1_2439975_2458035_PANK4	1191	3548	1309	3397	1182	3921	1229	1018	2574	1620	810	1215	1652	571	948	778	712	164
chr1_2460183_2461702_HES5	0	46	0	0	0	14	69	16	0	6	27	4	0	0	0	4	0	0
chr1_2481358_2488450_TNFRSF14-AS1	115	170	45	101	134	111	525	151	174	224	105	253	1033	103	148	251	1461	926
chr1_2487803_2497061_TNFRSF14	666	226	1247	106	2056	2907	452	2031	756	402	444	832	630	771	565	455	1112	507
chr1_2497973_2515973_LOC100996583	83	0	106	717	18	1297	24	482	10	756	2911	2	309	8	262	70	22	23
chr1_2517961_2522907_PRXL2B	88	592	1229	666	431	834	894	156	630	777	935	608	927	1884	349	506	89	1514
chr1_2522077_2564455_MMEL1	154	81	148	106	369	145	144	29	121	19	203	208	422	33	113	215	8	197
chr1_2572707_2717433_TTC34	2	10	4	1	12	10	5	3	8	0	8	0	4	4	10	0	6	8
chr1_2938030_2939467_ACTRT2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1_2976180_2984289_PRDM16-DT	74	44	0	5	14	10	16	2	38	15	91	2	0	2	1	2	8	5
chr1_2985766_3355185_PRDM16	100	20	135	616	105	405	152	256	137	69	864	205	216	58	382	86	807	116
chr1_3044538_3044599_MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3371228_3397677_ARHGEF16	7	149	138	30	272	973	198	285	58	681	65	197	237	13	606	87	365	49
chr1_3404514_3528072_MEGF6	17796	14836	34738	7616	6601	1746	5162	6693	14190	33704	14809	2831	36977	4611	30009	4904	10428	687
chr1_3477258_3477354_MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3541578_3546691_TPRG1L	3882	562	697	728	4113	802	2217	326	276	3641	340	2717	573	35	2553	2962	2822	723
chr1_3547333_3566667_WRAP73	258	851	165	550	10	559	99	391	962	764	588	760	707	530	625	333	814	181
chr1_3569079_3652765_TP73	105	95	85	6	29	19	20	48	47	72	19	10	5	129	33	19	17	81
chr1_3652547_3663937_TP73-AS1	1471	448	3423	1472	1868	1782	438	882	419	1948	2158	778	1468	1093	1939	918	1992	655
chr1_3669013_3688209_CCDC27	1	0	11	4	2	2	0	1	2	2	2	0	6	2	4	7	0	1
chr1_3689324_3692546_SMIM1	4	0	0	13	6	0	0	2	2	5	0	22	10	5	0	3	0	0
chr1_3695122_3713062_LRRC47	3433	2370	2924	1191	5156	3011	1946	504	2634	1199	1850	2342	2914	3690	1595	4405	3513	103
chr1_3728649_3773775_CEP104	3701	2080	2333	2450	382	518	710	2259	2696	1929	871	934	1730	1455	76	3268	1097	2394
chr1_3773830_3801993_DFFB	7	41	245	6	335	20	219	38	277	173	45	10	35	237	321	25	350	161
chr1_3805696_3816836_C1orf174	125	1507	94	721	1076	107	682	878	269	455	1190	87	936	784	917	464	280	99
chr1_3816967_3832011_LINC01134	8	68	3	78	16	7	4	10	13	21	67	108	38	48	58	39	6	23
chr1_4000671_4012643_LINC01346	0	0	0	0	6	0	2	2	0	4	0	0	2	6	0	0	12	0
chr1_4007208_4009040_LINC01345	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
chr1_4472110_4484744_LINC01777	0	2	0	0	0	0	0	0	0	18	0	0	0	5	0	0	0	0
chr1_4631546_4643766_LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_4714668_4852594_AJAP1	513	423	24	195	10	1055	3	18	58	17	236	15	135	167	1765	312	32	509
chr1_5922731_5922801_MIR4689	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
chr1_5922870_6052485_NPHP4	932	1033	1363	71	535	1420	710	658	460	1025	891	973	1218	1635	1325	1118	590	422
chr1_6052735_6161240_KCNAB2	14	167	83	215	361	113	835	886	597	312	356	478	402	1255	494	511	165	319
chr1_6161846_6240381_CHD5	20	87	109	30	147	283	112	236	148	47	91	165	50	1628	70	47	34	80
chr1_6245079_6259655_RPL22	11031	7079	11705	4365	10294	10986	6007	4920	6716	9043	7108	8654	2759	7867	5010	12573	1377	10109
chr1_6264899_6265840_LOC102724450	11	9	24	1	13	8	7	4	1	3	35	7	12	16	1	11	11	5
chr1_6266178_6281359_RNF207	82	473	93	842	534	677	549	412	430	350	803	106	219	195	703	132	290	1274
chr1_6281252_6296024_ICMT	750	2515	2512	7893	4543	2085	5944	6342	5400	1097	4637	6264	972	134	2390	4982	9871	612
chr1_6296299_6299504_LINC00337	6	0	4	7	0	2	2	6	2	10	6	12	3	4	6	4	0	8
chr1_6304238_6305638_HES3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr1_6307412_6321158_GPR153	991	698	233	386	69	602	49	858	1168	587	422	162	316	963	608	824	1919	989
chr1_6324331_6453826_ACOT7	2445	999	3346	1407	552	543	2252	5867	1877	1773	2309	593	3091	1621	2089	2774	2982	1541
chr1_6475291_6479979_HES2	0	0	4	0	0	2	9	0	11	0	0	0	2	4	0	0	0	0
chr1_6484835_6521004_ESPN	4	4	7	6	8	16	35	6	26	3	8	48	0	2	7	55	17	15
chr1_6489893_6489956_MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6521210_6526255_TNFRSF25	0	12	123	326	142	122	67	167	11	0	268	119	27	192	33	14	96	540
chr1_6526151_6580121_PLEKHG5	701	2250	2076	240	394	564	80	395	1125	273	46	571	596	331	2838	316	288	28
chr1_6581406_6614573_NOL9	1392	742	820	857	1510	1445	179	2340	666	755	389	1056	1509	914	1305	1268	786	996
chr1_6615366_6639815_TAS1R1	0	5	7	5	4	2	6	6	5	0	2	5	9	0	5	8	0	0
chr1_6640053_6649340_ZBTB48	606	714	765	981	2386	716	2409	1193	1698	845	1201	1387	4866	627	359	295	849	2519
chr1_6650783_6662929_KLHL21	4988	18081	3438	4007	3521	6116	5773	9659	2846	9171	4225	5630	7171	1008	11770	4962	5910	4993
chr1_6673790_6684090_PHF13	160	890	1699	275	2188	1109	4164	1064	720	616	1824	2647	1820	262	3092	1300	1812	2226
chr1_6684924_6695646_THAP3	1576	230	1751	1518	1516	1148	861	1340	1766	2539	1886	3013	1914	6042	892	908	1431	3047
chr1_6694229_6761876_DNAJC11	2218	6990	5291	2331	5437	2986	3402	3033	6584	3787	4766	3427	4271	3367	3873	13548	3909	1976
chr1_6784804_6790072_LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
chr1_6843951_6845040_CAMTA1-DT	4	5	4	28	0	2	2	4	11	30	8	14	4	3	2	2	3	8
chr1_6845383_7829766_CAMTA1	1093	1180	946	704	1452	574	866	910	2238	544	751	1405	93	461	567	670	837	535
chr1_7442547_7449814_CAMTA1-AS2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	4	0	0
chr1_7831355_7841492_VAMP3	2479	5704	4883	4384	6414	5611	2554	2815	290	7657	11684	7906	5955	3851	3665	8119	1473	1976
chr1_7844246_7905241_PER3	11061	1424	3152	2835	1831	3432	2136	1363	445	2688	1670	1298	1666	2444	5099	5660	1608	1563
chr1_7907671_7913551_UTS2	10	0	0	0	0	4	4	2	15	0	17	0	0	6	1	4	0	0
chr1_7975930_8000899_TNFRSF9	31	0	1674	1252	0	197	100	2	2	6	1	367	289	1	0	496	3	3283
chr1_8021713_8045565_PARK7	6468	519	6412	7670	6002	5024	4977	11459	3581	3990	3461	8653	8254	9834	5478	10197	4644	9746
chr1_8071786_8086369_ERRFI1	17524	8985	8540	4820	11780	1801	11223	6306	2336	8440	3357	5947	1294	1361	8834	1370	28860	1266
chr1_8268731_8275270_LINC01714	1	0	0	1	0	2	2	1	0	0	0	0	0	2	0	3	7	0
chr1_8378144_8404227_SLC45A1	159	53	57	93	41	159	23	123	28	47	111	74	69	48	103	83	103	29
chr1_8412463_8877699_RERE	5246	1315	1351	6962	3873	6353	6574	2302	5452	6530	6841	560	11464	3023	5382	5529	2007	3912
chr1_8484704_8495076_RERE-AS1	22	17	4	30	24	15	10	15	8	26	2	14	32	63	13	14	37	15
chr1_8554859_8554973_SNORD128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_8921058_8938745_ENO1	20581	59316	35190	25251	86791	123556	33705	165061	23164	97804	62905	78388	68004	104277	69891	64883	80696	59098
chr1_8926560_8926649_MIR6728	10	2	2	4	9	3	101	0	251	5	14	1	1	5	6	204	8	2
chr1_8938893_8939944_ENO1-AS1	16	20	42	75	24	20	28	18	43	7	18	64	7	10	23	62	48	33
chr1_9005926_9035151_CA6	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
chr1_9063358_9086404_SLC2A7	1	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
chr1_9095164_9132318_SLC2A5	72	24	2	40	54	28	151	9	22	17	24	8	45	2	13	28	2	163
chr1_9160363_9189161_GPR157	239	358	175	376	215	602	523	220	194	318	804	174	142	205	29	286	197	135
chr1_9208069_9242397_MIR34AHG	765	128	417	965	406	502	408	336	609	695	482	1750	903	505	889	918	327	531
chr1_9211726_9211836_MIR34A	5	6	5	1	11	4	40	6	6	11	13	4	4	8	4	13	1	10
chr1_9242262_9252145_LNCTAM34A	329	135	377	1376	62	250	254	90	442	490	1273	432	125	606	164	166	183	103
chr1_9294832_9331396_H6PD	3991	10198	4785	7612	3933	7208	1614	4130	2205	3185	4454	3187	2566	964	216	10344	4484	7335
chr1_9352952_9429591_SPSB1	1487	337	513	67	916	1306	955	1015	355	1167	479	1237	625	553	709	1088	552	1064
chr1_9485152_9489055_LINC02606	20	80	5	9	10	41	0	12	77	44	56	58	74	23	28	37	46	6
chr1_9599523_9645231_SLC25A33	446	536	806	921	408	278	438	392	654	417	280	481	495	220	216	369	57	581
chr1_9648968_9674935_TMEM201	890	1174	973	481	378	232	617	105	253	992	756	712	12	429	336	140	593	1165
chr1_9711788_9789172_PIK3CD	8555	918	1884	1812	2723	12047	2416	1868	5297	44054	16221	7345	29328	15734	1224	1840	10184	2101
chr1_9712667_9714644_PIK3CD-AS1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
chr1_9732483_9747632_PIK3CD-AS2	86	43	27	31	14	61	13	23	24	8	27	137	264	38	31	19	134	46
chr1_9788983_9884584_CLSTN1	10600	12885	19596	16008	8238	13927	16131	9084	10007	11941	14298	876	11988	6036	18585	3847	23776	5926
chr1_9908333_9970327_CTNNBIP1	942	657	883	649	912	1200	312	1537	466	762	199	144	246	31	1170	365	926	605
chr1_9982175_10003449_LZIC	763	1095	1692	1471	1513	968	534	3987	1958	1799	1223	754	1305	1955	1655	908	106	1612
chr1_10002980_10045556_NMNAT1	837	561	1700	537	516	74	970	1330	776	924	309	707	768	977	789	1187	725	814
chr1_10010629_10020845_TMEM274P	3	8	0	0	0	2	0	13	1	1	2	0	3	0	4	4	4	4
chr1_10027438_10027516_MIR5697	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1_10057285_10076079_RBP7	4	12	13	4	22	10	7	11	0	2	0	2	10	11	2	9	9	2
chr1_10093015_10241297_UBE4B	4944	4810	8542	4613	2999	4080	3892	10776	6681	4147	8734	4767	4113	373	2716	4497	6172	5276
chr1_10270627_10441661_KIF1B	2406	4697	6908	5614	6785	7584	4807	2877	5671	6548	6533	3961	5246	3694	7305	816	4904	3835
chr1_10459120_10480568_PGD	3732	6061	7230	398	7113	4537	2443	4693	3406	2945	5272	5292	4464	4606	11815	1629	5650	4810
chr1_10490489_10502865_CENPS	391	146	535	400	405	195	230	181	565	377	170	633	561	940	502	459	508	353
chr1_10490489_10512210_CENPS-CORT	228	483	564	510	442	374	537	177	411	22	435	575	250	429	599	1000	594	214
chr1_10510087_10512055_CORT	20	23	18	12	13	18	24	50	46	13	54	35	11	7	21	24	25	4
chr1_10516578_10532586_DFFA	1612	2793	2561	100	1954	2985	2476	2519	1164	2498	1718	2697	3818	1269	705	2843	3233	2025
chr1_10535006_10690815_PEX14	3116	205	1573	1510	4038	908	1339	2288	5457	1198	1123	1117	1493	914	1801	2239	1401	2111
chr1_10696660_10856703_CASZ1	14	142	105	67	239	33	42	71	31	195	118	29	38	156	73	138	47	52
chr1_11006529_11042094_C1orf127	0	8	4	9	5	0	3	0	5	5	0	8	1	0	10	3	4	0
chr1_11072678_11085549_TARDBP	4991	8590	7413	4705	6469	3114	6379	7042	12947	10222	5535	6900	4380	5975	9595	3244	4412	5951
chr1_11086579_11107296_MASP2	244	322	175	199	165	291	101	133	311	420	133	35	115	129	238	293	150	187
chr1_11114645_11120075_SRM	3478	5090	2223	5089	736	5078	141	1838	1172	1534	4185	1506	1199	5182	3605	3734	2563	5178
chr1_11126674_11159926_EXOSC10	6198	4863	298	8096	3663	3116	4943	4002	2331	3694	4318	2721	2160	4436	2130	4688	3357	8578
chr1_11159731_11162162_EXOSC10-AS1	221	173	97	6	476	184	210	455	132	102	100	336	252	141	199	140	103	171
chr1_11166591_11322608_MTOR	3587	4571	5672	6292	10871	2873	5359	4534	3823	3714	4633	473	2635	3289	9500	3916	2208	6684
chr1_11203954_11209595_MTOR-AS1	290	352	229	106	277	279	292	368	197	351	546	13	161	421	175	313	195	222
chr1_11249411_11256038_ANGPTL7	0	4	0	0	2	0	0	4	0	0	6	2	0	0	2	6	4	2
chr1_11333254_11359629_UBIAD1	2077	662	748	910	750	491	511	789	976	505	1013	414	859	1078	832	2484	934	833
chr1_11539211_11597608_DISP3	12	2	0	40	2	4	11	8	40	10	33	4	74	85	44	0	4	4
chr1_11669587_11673412_LINC01647	492	0	306	245	311	0	0	5	0	381	0	0	10	0	6	0	0	6
chr1_11708443_11714486_FBXO2	31	0	16	13	8	17	434	19	17	28	2	71	26	48	4	7	26	23
chr1_11714463_11723384_FBXO44	492	263	733	496	495	207	529	247	41	779	705	773	1330	849	943	158	309	535
chr1_11724256_11734411_FBXO6	124	555	170	387	154	127	89	443	220	206	342	20	323	342	343	267	108	193
chr1_11734536_11751678_MAD2L2	799	685	1430	970	231	567	2152	1663	829	1016	806	913	1333	908	279	28	1319	238
chr1_11751766_11785914_DRAXIN	43	332	10	28	18	50	0	26	0	10	33	34	53	19	327	55	322	31
chr1_11796141_11810828_AGTRAP	1053	1388	2371	1767	2821	1735	699	1004	1773	1880	1716	653	1491	3510	477	1564	648	2248
chr1_11822249_11849642_C1orf167	1447	662	492	2537	3042	1738	1033	643	870	1018	765	691	558	153	540	1502	607	1333
chr1_11837133_11839676_C1orf167-AS1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0
chr1_11845779_11866021_MTHFR	1189	1242	1654	1879	1471	2284	1067	1514	1344	2971	6450	3494	2633	6387	1318	1194	4883	3087
chr1_11866152_11903201_CLCN6	1089	2061	974	1208	729	687	6023	1234	1059	2213	8585	4330	7340	3470	1249	380	13135	2986
chr1_11900375_11907673_NPPA-AS1	3301	1380	941	3658	583	496	1646	765	1722	156	570	2749	418	544	583	1856	299	5639
chr1_11905765_11907840_NPPA	6	317	370	497	10	247	274	1259	14	5	11	9	10	284	683	6	11	2
chr1_11917520_11919002_NPPB	1006	0	2	833	0	2	706	302	161	0	321	194	37	0	0	0	209	0
chr1_11968210_11968329_RNU5E-1	2	1	8	18	0	3	11	0	1	0	34	8	0	0	2	5	4	0
chr1_11979647_11986484_KIAA2013	3255	5821	708	5016	1762	138	3584	2809	1433	4271	1548	2824	4937	3021	2453	2058	3671	1931
chr1_11994773_12035594_PLOD1	16590	4070	14370	15212	25671	6332	14738	4573	10990	21772	8249	655	20448	41117	11420	10316	5402	17239
chr1_12040237_12073572_MFN2	4674	412	11701	7797	7779	5842	9355	7551	5011	9467	7778	1700	6728	3008	5961	2596	5173	5407
