sampleID,geneID,pValue,padjust,zScore,l2fc,rawcounts,normcounts,meanCorrected,theta,aberrant,AberrantBySample,AberrantByGene,padj_rank,sample_name,TIN_mean,link_bam,chr,start,end,gene
S12_dekker_et_al,chr1_11900375_11907673_NPPA-AS1,0.574996027049908,1,-0.59,-0.08,299,468.82,497.06,173.74,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,11900375,11907673,NPPA-AS1
S18_dekker_et_al,chr1_12089214_12089279_MIR6729,1,1,0.53,0.2,1,5.18,3.8,1000,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,12089214,12089279,MIR6729
S8_dekker_et_al,chr1_15986207_15988525_RSC1A1,0.0323107842758518,1,2.11,0.24,404,566.92,478.25,253.3,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,15986207,15988525,RSC1A1
S10_dekker_et_al,chr1_17393255_17445946_PADI2,0.171019137260183,1,1.19,1.24,303,402.32,169.55,1.16,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,17393255,17445946,PADI2
S12_dekker_et_al,chr1_19934300_19935138_RPS14P3,0.0805411865914822,1,1.84,0.8,16,45.2,24.7,20.1,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,19934300,19935138,RPS14P3
S18_dekker_et_al,chr1_20879065_20881513_FAM43B,0.181026820991844,1,1.32,1.03,6,21.4,8.7,2.68,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,20879065,20881513,FAM43B
S10_dekker_et_al,chr1_23631180_23670777_HNRNPR,0.133281620456448,1,1.56,0.1,3542,9447.39,8817.08,530.86,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,23631180,23670777,HNRNPR
S12_dekker_et_al,chr1_24018268_24023325_RPL11,0.251620254448729,1,-1.15,-0.1,8759,17419.82,18629.71,314.09,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,24018268,24023325,RPL11
S4_dekker_et_al,chr1_24286317_24289952_PNRC2,0.893904156713734,1,0.15,0.01,3029,5006.71,4966.52,218.33,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,24286317,24289952,PNRC2
S16_dekker_et_al,chr1_24969792_24999772_SRRM1,0.587970959358549,1,0.57,0.04,3208,5264.57,5107.29,339.99,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,24969792,24999772,SRRM1
S14_dekker_et_al,chr1_26146396_26159433_MTFR1L,0.99096575293581,1,0.03,0,1572,3106.66,3105.92,478.3,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,26146396,26159433,MTFR1L
S2_dekker_et_al,chr1_26232852_26232945_MIR3917,0.761283329734256,1,0.35,0.06,248,687.98,660.77,56.23,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,26232852,26232945,MIR3917
S6_dekker_et_al,chr1_26608772_26644756_UBXN11,0.0940465970882792,1,1.76,0.26,344,931.99,780.24,111.98,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,26608772,26644756,UBXN11
S10_dekker_et_al,chr1_26758772_26797797_DHDDS,0.416387707942316,1,-0.85,-0.07,1447,2477.41,2591.98,445.69,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,26758772,26797797,DHDDS
S4_dekker_et_al,chr1_27189639_27190947_SFN,0.290793810493583,1,1.02,0.89,43,46.09,24.37,1.3,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,27189639,27190947,SFN
S14_dekker_et_al,chr1_27320182_27327377_TRNP1,0.125715555058333,1,-1.56,-0.57,1959,3672.62,5468.77,18.78,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,27320182,27327377,TRNP1
S6_dekker_et_al,chr1_28905254_28905334_SNORD99,0.961760778283203,1,-0.32,-0.27,3,10.74,13.7,19.91,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,28905254,28905334,SNORD99
S14_dekker_et_al,chr1_28929361_28969579_TAF12,0.234402427561589,1,1.28,0.12,551,1059.87,972.58,286.42,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,28929361,28969579,TAF12
S16_dekker_et_al,chr1_28975111_28975246_RNU11,1,1,0.17,-0.06,1,1.31,1.38,21.93,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,28975111,28975246,RNU11
S16_dekker_et_al,chr1_32117863_32169618_COL16A1,0.933357806534369,1,-0.05,-0.03,20143,29984.94,30607.37,40.95,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,32117863,32169618,COL16A1
S4_dekker_et_al,chr1_32192705_32229941_ADGRB2,0.00365194749601351,1,-3.17,-1.07,127,212.28,447.75,22.64,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,32192705,32229941,ADGRB2
S14_dekker_et_al,chr1_32224260_32224336_MIR4254,1,1,-0.06,-0.06,0,0,0.16,1000,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,32224260,32224336,MIR4254
S10_dekker_et_al,chr1_32645275_32663886_TXLNA,0.384895168491817,1,0.9,0.05,5368,7911.71,7642.27,710.67,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,32645275,32663886,TXLNA
S16_dekker_et_al,chr1_32674694_32681797_DCDC2B,0.16840268729424,1,-1.47,-0.28,102,178.02,216.03,118.58,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,32674694,32681797,DCDC2B
S8_dekker_et_al,chr1_33086420_33116533_ZBTB8OS,0.862070449017756,1,0.22,0.02,377,777.64,767.34,300.82,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,33086420,33116533,ZBTB8OS
S8_dekker_et_al,chr1_33327868_33338085_FNDC5,0.037828751752396,1,-2.56,-1.05,14,26.36,57,20.54,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,33327868,33338085,FNDC5
S14_dekker_et_al,chr1_35734309_35887659_ZMYM4,0.317837750479109,1,-1.03,-0.06,3295,3932.95,4093.3,809.96,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,35734309,35887659,ZMYM4
S2_dekker_et_al,chr1_36038914_36060929_TFAP2E,0.00479658707082184,1,2.34,0.89,100,119.91,64.04,20.78,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,36038914,36060929,TFAP2E
S18_dekker_et_al,chr1_36335408_36396133_AGO1,0.615099371373549,1,0.53,0.04,1408,2050.04,1991.13,364.16,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,36335408,36396133,AGO1
S10_dekker_et_al,chr1_36549694_36553876_TEKT2,0.00729274480206414,1,-3.89,-3.12,0,0,5.77,9.27,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,36549694,36553876,TEKT2
S10_dekker_et_al,chr1_38022540_38032458_DNALI1,0.628559553933561,1,0.54,0.17,89,187.42,166.84,14.48,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,38022540,38032458,DNALI1
S6_dekker_et_al,chr1_40026487_40042462_PABPC4,0.975836298569135,1,0.05,0,7865,15083.72,15078.38,106.94,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,40026487,40042462,PABPC4
S10_dekker_et_al,chr1_40089106_40105315_HEYL,0.270449622924299,1,1.12,0.71,23,48.66,28.98,3.57,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,40089106,40105315,HEYL
S6_dekker_et_al,chr1_40505736_40538321_CAP1,0.506417061349752,1,-0.66,-0.04,23190,37624.89,38713.87,575.84,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,40505736,40538321,CAP1
S16_dekker_et_al,chr1_40974390_40981722_EXO5,0.899094823934079,1,0.17,0.02,261,525.34,518.66,118.49,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,40974390,40981722,EXO5
S14_dekker_et_al,chr1_41086351_41131354_RIMS3,0.769519191957506,1,0.38,0.11,34,47.81,44.37,13.97,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,41086351,41131354,RIMS3
S18_dekker_et_al,chr1_42642209_42801551_FOXJ3,0.337908051669336,1,-1,-0.07,1599,2441.52,2562.21,556.77,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,42642209,42801551,FOXJ3
S10_dekker_et_al,chr1_43913446_43914315_SZT2-AS1,0.240075384934235,1,-1.29,-0.2,123,170.16,194.91,230.22,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,43913446,43914315,SZT2-AS1
S6_dekker_et_al,chr1_44462154_44497134_SLC6A9,0.754057163144952,1,-0.29,-0.06,1661,2464.3,2571.46,72.45,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,44462154,44497134,SLC6A9
S8_dekker_et_al,chr1_44584492_44600812_KLF17,0.701512878351591,1,0.61,0.28,6,19.91,15.83,7.36,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,44584492,44600812,KLF17
S16_dekker_et_al,chr1_45241536_45241610_SNORD55,0.344937944252161,1,-0.91,-1.29,19,65.1,163.69,2.42,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,45241536,45241610,SNORD55
S12_dekker_et_al,chr1_45242163_45242261_SNORD46,0.0481771428918858,1,-3.84,-1.52,2,7.49,28.33,64.64,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,45242163,45242261,SNORD46
S10_dekker_et_al,chr1_46111443_46112357_RPS15AP10,0.699891843216827,1,0.53,0.22,11,7.62,6.5,10.03,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,46111443,46112357,RPS15AP10
S6_dekker_et_al,chr1_47846467_47902989_LINC01389,0.636153392285241,1,-0.52,-0.15,74,141.47,157.87,42.02,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,47846467,47902989,LINC01389
S14_dekker_et_al,chr1_49193190_49242641_BEND5,0.522996262348527,1,0.66,0.27,59,51.25,42.17,9.76,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,49193190,49242641,BEND5
S8_dekker_et_al,chr1_52516589_52518355_TXNDC12-AS1,0.544510305330931,1,0.8,0.45,5,3.02,2,6.04,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,52516589,52518355,TXNDC12-AS1
S8_dekker_et_al,chr1_52816264_52831877_CC2D1B,0.767616821313008,1,-0.3,-0.03,1684,2658.48,2716.47,253.73,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,52816264,52831877,CC2D1B
S18_dekker_et_al,chr1_54231150_54303969_NDC1,0.276208359850186,1,-1.21,-0.11,541,1314.93,1417.85,367.28,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,54231150,54303969,NDC1
S18_dekker_et_al,chr1_55505220_55530526_PCSK9,0.522121944394326,1,-0.73,-0.56,14,97.17,146.18,6.64,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,55505220,55530526,PCSK9
S14_dekker_et_al,chr1_62208151_62629621_PATJ,0.280302200073952,1,-1.05,-0.2,838,644.78,740.42,74.42,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,62208151,62629621,PATJ
S18_dekker_et_al,chr1_63788237_63790799_FOXD3,1,1,0.12,-0.18,0,0,0.43,0.22,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,63788237,63790799,FOXD3
S2_dekker_et_al,chr1_65210655_65298915_RAVER2,0.39876059199663,1,0.89,0.19,259,451.55,395.09,40.52,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,65210655,65298915,RAVER2
S4_dekker_et_al,chr1_67278567_67390539_WDR78,0.685114715159728,1,0.45,0.07,201,206.19,196.12,95.42,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,67278567,67390539,WDR78
S16_dekker_et_al,chr1_68167157_68299150_GNG12,0.610659240118216,1,0.53,0.04,10854,17923.03,17444.77,350.6,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,68167157,68299150,GNG12
S16_dekker_et_al,chr1_70671378_70718735_SRSF11,0.999038168269276,1,0.01,0,5715,10297.65,10300.75,749.42,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,70671378,70718735,SRSF11
S8_dekker_et_al,chr1_70876900_70905534_CTH,0.194772461144755,1,1.29,0.51,275,551.61,386.81,10.68,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,70876900,70905534,CTH
S8_dekker_et_al,chr1_74663895_74674386_FPGT,0.879599467996041,1,-0.14,-0.03,474,686.45,698.96,140.3,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,74663895,74674386,FPGT
S16_dekker_et_al,chr1_75171169_75199092_CRYZ,0.2740350947257,1,1.09,0.41,1749,2386.4,1794.18,11.21,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,75171169,75199092,CRYZ
S8_dekker_et_al,chr1_76190031_76229364_ACADM,0.0449092298072618,1,2.02,0.22,1250,2180.51,1868.04,183.23,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,76190031,76229364,ACADM
S12_dekker_et_al,chr1_76253573_76253657_SNORD45A,0.565690451006125,1,0.85,0.27,14,47.75,38.92,28.03,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,76253573,76253657,SNORD45A
S6_dekker_et_al,chr1_76255161_76255232_SNORD45B,0.273104081052609,1,-1.53,-0.59,10,25.05,38.98,35.16,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,76255161,76255232,SNORD45B
S16_dekker_et_al,chr1_89445138_89458643_RBMXL1,0.109189781486092,1,1.66,0.19,598,1120.57,984.04,194.24,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,89445138,89458643,RBMXL1
S2_dekker_et_al,chr1_89646826_89664625_GBP4,0.489372303258669,1,0.75,0.46,26,79.51,56.65,2.34,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,89646826,89664625,GBP4
S16_dekker_et_al,chr1_93544791_93604638_MTF2,0.87963734126965,1,-0.16,-0.02,484,852.22,863.16,339.64,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,93544791,93604638,MTF2
S4_dekker_et_al,chr1_93646272_93744287_CCDC18,0.833231017865072,1,-0.21,-0.03,520,1053.12,1076.32,158.7,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,93646272,93744287,CCDC18
S8_dekker_et_al,chr1_94331839_94344762_DNTTIP2,0.953694339811392,1,0.09,0,2006,3650.04,3639.86,866.02,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,94331839,94344762,DNTTIP2
S8_dekker_et_al,chr1_98399029_98407296_LINC01930,0.0529215161993914,1,1.7,0.86,38,37.68,20.29,10.63,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,98399029,98407296,LINC01930
S2_dekker_et_al,chr1_99729847_99775140_PLPPR4,0.461497483374323,1,0.74,0.36,179,491.06,383.05,5.65,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,99729847,99775140,PLPPR4
S4_dekker_et_al,chr1_100435551_100501190_SLC35A3,0.452781236464218,1,0.76,0.08,1214,1902.8,1803.21,217.89,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,100435551,100501190,SLC35A3
S2_dekker_et_al,chr1_101003694_101007577_GPR88,0.422554621865412,1,1,0.69,2,3.23,1.26,0.86,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,101003694,101007577,GPR88
S12_dekker_et_al,chr1_104112025_104114013_ACTG1P4,0.584204380090301,1,-0.88,-1.12,2,0.64,1.69,1.95,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,104112025,104114013,ACTG1P4
S16_dekker_et_al,chr1_109102721_109181944_FAM102B,0.667319366477662,1,0.46,0.06,617,1043.77,1000.42,105.55,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,109102721,109181944,FAM102B
S4_dekker_et_al,chr1_109419606_109477167_GPSM2,0.91365700921927,1,0.14,0.01,1065,2211.87,2194.95,188.98,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,109419606,109477167,GPSM2
S14_dekker_et_al,chr1_109512835_109584850_WDR47,0.785818654519785,1,0.3,0.02,1818,2850.8,2805.01,306.9,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,109512835,109584850,WDR47
S6_dekker_et_al,chr1_109642814_109643234_SCARNA2,0.413813227467692,1,0.98,0.61,5,6.48,3.75,4.47,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,109642814,109643234,SCARNA2
S4_dekker_et_al,chr1_110527386_110566364_AHCYL1,0.886080872360703,1,0.16,0.01,4043,6962.92,6913.97,381.49,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,110527386,110566364,AHCYL1
S16_dekker_et_al,chr1_110752935_110791746_KCNC4,0.264986924131255,1,-1.13,-0.35,513,872.68,1112.24,27.1,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,110752935,110791746,KCNC4
S14_dekker_et_al,chr1_111728590_111747160_DENND2D,0.832801889723553,1,0.27,0.05,158,154.71,149.14,15.13,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,111728590,111747160,DENND2D
S14_dekker_et_al,chr1_112298522_112310622_DDX20,0.0969515539508433,1,-1.74,-0.34,818,1307.43,1655.56,60.31,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,112298522,112310622,DDX20
S18_dekker_et_al,chr1_112318453_112531777_KCND3,0.0114831639788883,1,-2.69,-1.39,369,237.26,624.05,10.2,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,112318453,112531777,KCND3
S18_dekker_et_al,chr1_113243748_113250025_RHOC,0.795154038463544,1,0.27,0.02,12201,21611.8,21275.6,242.14,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,113243748,113250025,RHOC
S18_dekker_et_al,chr1_113465971_113467295_AKR7A2P1,1,1,0.1,-0.06,5,8.64,9,17.77,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,113465971,113467295,AKR7A2P1
S18_dekker_et_al,chr1_113499036_113506694_SLC16A1-AS1,0.57481218366568,1,0.7,0.13,78,155.26,141.82,80.56,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,113499036,113506694,SLC16A1-AS1
S4_dekker_et_al,chr1_114304453_114355098_RSBN1,0.0583100265870201,1,1.91,0.2,610,858.75,746.65,253.56,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,114304453,114355098,RSBN1
S4_dekker_et_al,chr1_114935411_115053824_TRIM33,0.90744005073328,1,0.14,0.01,1496,2021.44,2009.85,535.64,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,114935411,115053824,TRIM33
S10_dekker_et_al,chr1_117452537_117532975_PTGFRN,0.631716008944479,1,-0.44,-0.17,2031,3160.39,3556.54,23.12,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,117452537,117532975,PTGFRN
S18_dekker_et_al,chr1_118496212_118727851_SPAG17,0.0769425731176909,1,-1.9,-0.21,464,735.15,852.43,221.86,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,118496212,118727851,SPAG17
S4_dekker_et_al,chr1_119683018_119818596_WARS2-AS1,0.671938763596666,1,0.44,0.09,727,818,769.42,38.58,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,119683018,119818596,WARS2-AS1
S2_dekker_et_al,chr1_120905992_120916108_H2BP1,0.883909934570454,1,-0.13,-0.06,200,316.49,329.12,35.29,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,120905992,120916108,H2BP1
S6_dekker_et_al,chr1_144301610_144301684_TRN-GTT11-1,1,1,0.18,-0.02,0,0,0.27,0.5,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,144301610,144301684,TRN-GTT11-1
S12_dekker_et_al,chr1_144614958_144830407_NBPF9,0.554689259228418,1,-0.58,-0.14,4202,4670.82,5158.95,43.66,FALSE,2,0,9421,S12_dekker_et_al,72.77,,chr1,144614958,144830407,NBPF9
S14_dekker_et_al,chr1_145979033_145979107_TRN-GTT9-1,1,1,0.08,0,0,0,0.07,1000,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,145979033,145979107,TRN-GTT9-1
S16_dekker_et_al,chr1_147753470_147753542_TRH-GTG1-3,1,1,0.13,-0.02,0,0,0.26,3.6,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,147753470,147753542,TRH-GTG1-3
S4_dekker_et_al,chr1_147774844_147774916_TRH-GTG1-4,1,1,0.19,-0.01,0,0,0.26,0.62,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,147774844,147774916,TRH-GTG1-4
S4_dekker_et_al,chr1_147806602_147806678_MIR5087,0.391655724962943,1,1.95,0.72,1,1.08,0.22,1000,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,147806602,147806678,MIR5087
S4_dekker_et_al,chr1_148604907_148605072_RNVU1-15,1,1,-0.98,-0.75,0,0,0.63,21.15,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,148604907,148605072,RNVU1-15
S2_dekker_et_al,chr1_148928312_148953054_LSP1P5,0.0682105383683534,1,1.77,0.4,1361,1685.63,1278.5,38.77,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,148928312,148953054,LSP1P5
S4_dekker_et_al,chr1_149341468_149399226_H2BP2,0.849558093914748,1,0.24,0.04,355,450.23,437.57,9.49,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,149341468,149399226,H2BP2
S16_dekker_et_al,chr1_149824180_149824687_H3C15,0.909067288933977,1,-0.14,-0.33,5,7.9,10.28,4.9,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,149824180,149824687,H3C15
S4_dekker_et_al,chr1_150230168_150237478_CA14,0.645611440994739,1,-0.53,-0.35,10,11.83,15.42,16.51,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,150230168,150237478,CA14
S4_dekker_et_al,chr1_150237798_150241609_APH1A,0.560777703239426,1,0.62,0.04,2864,5395.37,5230.72,387.76,FALSE,2,1,9421,S4_dekker_et_al,72.77,,chr1,150237798,150241609,APH1A
S2_dekker_et_al,chr1_150266261_150281414_MRPS21,0.512143463772255,1,-0.7,-0.08,759,1893.47,2001.9,192.42,FALSE,2,1,9421,S2_dekker_et_al,72.77,,chr1,150266261,150281414,MRPS21
S8_dekker_et_al,chr1_150459894_150480078_TARS2,0.746856262142502,1,-0.34,-0.05,587,1221,1259.96,167,FALSE,2,1,9421,S8_dekker_et_al,72.77,,chr1,150459894,150480078,TARS2
S4_dekker_et_al,chr1_150480584_150486265_ECM1,0.976138834012304,1,0.01,-0.03,4610,7924.02,8090.16,22.87,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,150480584,150486265,ECM1
S4_dekker_et_al,chr1_150702663_150738254_CTSS,0.582986351509654,1,-0.49,-0.39,57,75.57,99.9,7.58,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,150702663,150738254,CTSS
S2_dekker_et_al,chr1_150937648_150947479_CERS2,0.0892050884201221,1,1.73,0.14,5353,9740.28,8851.18,319.11,FALSE,2,1,9421,S2_dekker_et_al,72.77,,chr1,150937648,150947479,CERS2
S14_dekker_et_al,chr1_151336779_151345181_SELENBP1,0.262950412377482,1,1.09,0.37,197,440.11,338.99,16.35,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,151336779,151345181,SELENBP1
